n_anchors,room,room_x,room_y,room_z,trajectory,escenario_error,heterogeneo,n_componentes_error,repeat,n_points,n_valid,mean_error_m,rms_error_m,max_error_m,min_error_m,csv_file
3,hab_custom,5,8,3,line,unif_sym_0p2,False,1,1,60,60,0.06351891378710724,0.08242137351608735,0.22543703834645143,0.002526914619058997,simulacion_uwb_3anclas_hab_custom_line_unif_sym_0p2_rep1.csv
3,hab_custom,5,8,3,line,unif_sym_0p2,False,1,2,60,60,0.0539979880508547,0.06196772843034848,0.13533757108557692,0.013883509190688892,simulacion_uwb_3anclas_hab_custom_line_unif_sym_0p2_rep2.csv
3,hab_custom,5,8,3,line,unif_sym_0p2,False,1,3,60,60,0.055186025094633134,0.06263865281141515,0.12055193705229013,0.010848982543935116,simulacion_uwb_3anclas_hab_custom_line_unif_sym_0p2_rep3.csv
3,hab_custom,5,8,3,line,unif_pos_0p2,False,1,1,60,60,0.15740014325917545,0.16164120846610788,0.22811181944138156,0.09202370239718899,simulacion_uwb_3anclas_hab_custom_line_unif_pos_0p2_rep1.csv
3,hab_custom,5,8,3,line,unif_pos_0p2,False,1,2,60,60,0.1538478464615623,0.15738281101029392,0.23337550578638314,0.09827650228674605,simulacion_uwb_3anclas_hab_custom_line_unif_pos_0p2_rep2.csv
3,hab_custom,5,8,3,line,unif_pos_0p2,False,1,3,60,60,0.16635209842048362,0.17381121807752065,0.27312637011342344,0.07787029996623947,simulacion_uwb_3anclas_hab_custom_line_unif_pos_0p2_rep3.csv
3,hab_custom,5,8,3,line,unif_neg_0p2,False,1,1,60,60,0.1684041364008562,0.1741178351145513,0.254584857415944,0.08732915094788439,simulacion_uwb_3anclas_hab_custom_line_unif_neg_0p2_rep1.csv
3,hab_custom,5,8,3,line,unif_neg_0p2,False,1,2,60,60,0.16747634368832676,0.17459458153737112,0.28633763908628107,0.09383683281085436,simulacion_uwb_3anclas_hab_custom_line_unif_neg_0p2_rep2.csv
3,hab_custom,5,8,3,line,unif_neg_0p2,False,1,3,60,60,0.17977177601977762,0.18380413210296562,0.24904464254458605,0.10206007655747057,simulacion_uwb_3anclas_hab_custom_line_unif_neg_0p2_rep3.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_gausss0p02,False,2,1,60,60,0.04126658520611683,0.043603389968269166,0.07226544241308792,0.018581844565876717,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_gausss0p02_rep1.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_gausss0p02,False,2,2,60,60,0.03559751571115422,0.036719545390319804,0.06140323518919371,0.01754570258985438,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_gausss0p02_rep2.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_gausss0p02,False,2,3,60,60,0.03675739624774519,0.03864278328587371,0.06901837736581976,0.012503542785359265,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_gausss0p02_rep3.csv
3,hab_custom,5,8,3,line,combo_biasn0p02_gausss0p02,False,2,1,60,60,0.03827554875341713,0.03992475083051369,0.06896338775147053,0.01045023912130105,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_gausss0p02_rep1.csv
3,hab_custom,5,8,3,line,combo_biasn0p02_gausss0p02,False,2,2,60,60,0.03631487850151467,0.0385135956768367,0.09195059033026212,0.01152818526421108,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_gausss0p02_rep2.csv
3,hab_custom,5,8,3,line,combo_biasn0p02_gausss0p02,False,2,3,60,60,0.035448021200443776,0.037445036358274286,0.06572060017434048,0.004820119399280918,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_gausss0p02_rep3.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_gausss0p05,False,2,1,60,60,0.046312309826574964,0.05079462902203088,0.10289272830178653,0.013245141726487974,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_gausss0p05_rep1.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_gausss0p05,False,2,2,60,60,0.07114898079370514,0.07933170148043327,0.17615858158157705,0.012573767934547266,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_gausss0p05_rep2.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_gausss0p05,False,2,3,60,60,0.04867882123253249,0.05318629113742878,0.10310370526268924,0.012544353779976621,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_gausss0p05_rep3.csv
3,hab_custom,5,8,3,line,combo_biasn0p02_gausss0p05,False,2,1,60,60,0.06471935616626888,0.07031837811497348,0.1362157980322781,0.013264476843657117,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_gausss0p05_rep1.csv
