n_anchors,escenario_error,error_label,kind,magnitude,magnitude2,mean_error_m,mean_error_std,rms_error_m,max_error_m
4,heter_A1-unifN_A2-none_A3-biasP_A4-gaussN_tag-unifS,unknown,unknown,,,9.526662e-02,1.969036e-02,1.041436e-01,2.045089e-01
4,heter_A1-unifN_A2-none_A3-gaussN_A4-gaussN_tag-biasN,unknown,unknown,,,1.278045e-01,1.199429e-02,1.306902e-01,1.958180e-01
4,heter_A1-unifN_A2-unifN_A3-gaussP_A4-biasN_tag-gauss0,unknown,unknown,,,1.105315e-01,1.424449e-02,1.175510e-01,2.359934e-01
4,heter_A1-unifN_A2-unifN_A3-none_A4-biasP_tag-unifN,unknown,unknown,,,1.226636e-01,9.184922e-03,1.276389e-01,2.052171e-01
4,heter_A1-unifP_A2-biasN_A3-unifN_A4-gauss0_tag-gauss0,unknown,unknown,,,8.169382e-02,6.493367e-03,9.014349e-02,1.799289e-01
4,heter_A1-unifP_A2-biasP_A3-gauss0_A4-gaussP_tag-gaussP,unknown,unknown,,,1.215840e-01,1.889144e-02,1.266161e-01,2.247762e-01
4,heter_A1-unifP_A2-biasP_A3-gaussN_A4-none_tag-unifN,unknown,unknown,,,7.290053e-02,7.118740e-03,8.154034e-02,1.906006e-01
4,heter_A1-unifP_A2-none_A3-gaussN_A4-unifN_tag-unifN,unknown,unknown,,,1.083704e-01,8.186972e-03,1.137310e-01,2.001801e-01
4,heter_A1-unifP_A2-unifN_A3-biasP_A4-biasP_tag-biasP,unknown,unknown,,,1.291978e-01,5.141126e-03,1.304315e-01,1.786636e-01
4,heter_A1-unifS_A2-biasP_A3-biasN_A4-gaussP_tag-biasP,unknown,unknown,,,1.530516e-01,3.572516e-02,1.609209e-01,2.634885e-01
4,heter_A1-unifS_A2-gaussN_A3-biasP_A4-none_tag-gaussN,unknown,unknown,,,9.019784e-02,2.200753e-02,1.000964e-01,2.135469e-01
